Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Crystal Quarry,EOS,Edge of Eternities: Stellar Sights,10,normal,rare,1,107531,be6c67b2-4142-4bb4-a707-6dba787f811e,0.46,false,false,near_mint,en,USD
Echoing Deeps,EOS,Edge of Eternities: Stellar Sights,13,normal,rare,1,107527,b8a61e4e-e51f-4175-be3a-1f71fefc966f,0.58,false,false,near_mint,en,USD
High Market,EOS,Edge of Eternities: Stellar Sights,18,normal,rare,1,106974,229c383b-305b-44b1-ba0f-fbe95bbd633f,0.77,false,false,near_mint,en,USD
Lavaclaw Reaches,EOS,Edge of Eternities: Stellar Sights,22,normal,rare,1,107435,5766b7ed-eb92-4c53-a5ad-577b5466ff6f,0.38,false,false,near_mint,en,USD
Meteor Crater,EOS,Edge of Eternities: Stellar Sights,26,foil,rare,1,107546,cc67cb3d-76ae-4394-9f45-41865b12edf5,2.81,false,false,near_mint,en,USD
Mirrorpool,EOS,Edge of Eternities: Stellar Sights,27,normal,mythic,1,107576,eebffbb3-5421-40e4-af92-999d8eb504f4,2.88,false,false,near_mint,en,USD
Temple of Triumph,C21,Commander 2021,327,normal,rare,1,58680,c0516f04-127a-44de-8d49-e40d3fe192e3,0.17,false,false,near_mint,en,USD
Boros Garrison,RAV,Ravnica: City of Guilds,275,normal,common,1,27735,7dfe3f03-078f-44fb-89cd-efa3ebfaf637,0.18,false,false,near_mint,en,USD
Temple of Triumph,M20,Core Set 2020,257,normal,rare,1,45203,a874dfe1-eb4d-4817-877f-8a4cd75107e1,0.16,false,false,near_mint,en,USD
Watery Grave,EOE,Edge of Eternities,261,normal,rare,1,106762,5b8170dc-6a90-46fc-9989-7575f3d402b5,8.2,false,false,near_mint,en,USD
Dimir Aqueduct,2X2,Double Masters 2022,322,normal,uncommon,1,70356,877b7b90-80d4-4cad-af7c-a0b36c590ca0,0.22,false,false,near_mint,en,USD
River of Tears,MKC,Murders at Karlov Manor Commander,283,normal,rare,1,90386,67b626cc-1c12-4059-afa5-e5a1221ea1ba,0.15,false,false,near_mint,en,USD
Azorius Chancery,GK2,RNA Guild Kit,25,normal,uncommon,1,43996,eed7cbd5-c462-40c3-8a79-ce5e95561116,0.23,false,false,near_mint,en,USD
Stomping Ground,EOE,Edge of Eternities,283,normal,rare,1,107211,f802db1f-6533-4118-b677-562bfb135904,8.5,false,false,near_mint,en,USD
Temple of Abandon,WHO,Doctor Who,313,normal,rare,1,87767,b1511f21-d9ae-4949-859a-3246a01c1166,0.15,false,false,near_mint,en,USD
Temple of Epiphany,WHO,Doctor Who,316,normal,rare,1,87722,a7df0f35-81a1-439f-a9b0-0c3afd4bce68,0.16,false,false,near_mint,en,USD
Godless Shrine,EOE,Edge of Eternities,254,normal,rare,1,106768,8c542ea4-98c3-4c2d-9066-205ab7aa697a,8.05,false,false,near_mint,en,USD
Bleachbone Verge,DFT,Aetherdrift,250,normal,rare,1,103045,52dcdabd-a186-45fe-9fee-6c0f1afeaf16,11.95,false,false,near_mint,en,USD
Orzhov Basilica,PLST,The List,C17-268,normal,common,1,47672,f0dae75f-84c2-46ef-b374-6150e0f876f1,0.19,false,false,near_mint,en,USD
Blazemire Verge,DSK,Duskmourn: House of Horror,256,normal,rare,1,98744,d151c8e2-d715-470d-868a-f45191db9fa0,7.84,false,false,near_mint,en,USD
Blackcleave Cliffs,PONE,Phyrexia: All Will Be One Promos,248p,normal,rare,1,79197,b0be4d31-07da-42df-bfb9-241e5826d36d,2.17,false,false,near_mint,en,USD
Blood Crypt,RNA,Ravnica Allegiance,245,normal,rare,1,43620,5faba6c8-3463-47c1-ba01-09eb87fcb2d5,15.46,false,false,near_mint,en,USD
